title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date,Title Product,Title Note,Assignment,Product Name,Number of Patents,Count,Assignment,Patent No.,Patent Issued,Patent Owner,Patent Extended Period (days),Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat Term Ext,row_identifier,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Proprietary Name,Active Ingredient/Moiety,Applicant,NDA/BLA,Application Number(1),Application Number(2),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation
Determination of Regulatory Review Period for Purposes of Patent Extension; CLINACOX,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for CLINACOX and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",71 FR 44032,E6-12572,https://www.federalregister.gov/documents/2006/08/03/E6-12572/determination-of-regulatory-review-period-for-purposes-of-patent-extension-clinacox,https://www.govinfo.gov/content/pkg/FR-2006-08-03/pdf/E6-12572.pdf,8/3/2006, CLINACOX,,Anthony,CLINACOX,1,329,Anthony,4631278,,,,Janssen Pharmaceutica N.V.,5111,1749,3362,2000-10-04,1985-04-25,1999-04-21,NADA 140-951,1096,140951,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; EMEND,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for EMEND and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",71 FR 44033,E6-12573,https://www.federalregister.gov/documents/2006/08/03/E6-12573/determination-of-regulatory-review-period-for-purposes-of-patent-extension-emend,https://www.govinfo.gov/content/pkg/FR-2006-08-03/pdf/E6-12573.pdf,8/3/2006, EMEND,,Anthony,EMEND,1,330,Anthony,5719147,,,,Merck & Co.,2513,2332,181,2003-11-18,1996-05-10,2003-03-26,NDA 21-549,1022,21549,,,,,,,,,,,Emend,aprepitant,Merck,NDA,21549,,2002-09-27,2003-03-26,2003,"in combination with other antiemetic agents, for the prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of highly emetogenic cancer chemotherapy, including high-dose cisplatin",,Priority,No,No,,No
Determination of Regulatory Review Period for Purposes of Patent Extension; FUZEON,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for FUZEON and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",71 FR 54996,E6-15554,https://www.federalregister.gov/documents/2006/09/20/E6-15554/determination-of-regulatory-review-period-for-purposes-of-patent-extension-fuzeon,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/E6-15554.pdf,9/20/2006, FUZEON,,Anthony,FUZEON,1,331,Anthony,6133418,,,,Duke University,2312,2133,179,2004-04-06,1996-11-14,2003-03-13,NDA 21-481,569,21481,,,,,,,,,,,Fuzeon,enfuvirtide,Hoffmann-La Roche,NDA,21481,,2002-09-16,2003-03-13,2003,"in combination with other antiretroviral agents, for the treatment of HIV-1 infection in treatment experienced patients with evidence of HIV-1 replication despite ongoing antiretroviral therapy",,Priority,No,Yes,,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; AVASTIN,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for AVASTIN and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",71 FR 54997,E6-15555,https://www.federalregister.gov/documents/2006/09/20/E6-15555/determination-of-regulatory-review-period-for-purposes-of-patent-extension-avastin,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/E6-15555.pdf,9/20/2006, AVASTIN,,Anthony,AVASTIN,1,332,Anthony,6054297,,,,"Genentech, Inc.",2551,2401,150,2005-07-08,1997-03-05,2004-02-26,BLA 125085,307,125085,11/23/2010,Treatment of fallopian tube carcinoma,Designated/Approved,,,"In combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan for treatment of patients with platinum-resistant, recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who have received no more than 2 prior chemotherapy regimens.",11/14/2014,11/14/2021,"In combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan for treatment of patients with platinum-resistant, recurrent fallopian tube cancer who have received no more than 2 prior chemotherapy regimens.","Genentech, Inc.",Avastin,bevacizumab,Genentech,BLA,125085,,2003-09-30,2004-02-26,2004,in combination with intravenous 5-fluorouracil-based chemotherapy is indicated for the first-line treatment of patients with metastatic carcinoma of the colon and rectum,,Priority,No,No,,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; AVASTIN,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for AVASTIN and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",71 FR 54997,E6-15555,https://www.federalregister.gov/documents/2006/09/20/E6-15555/determination-of-regulatory-review-period-for-purposes-of-patent-extension-avastin,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/E6-15555.pdf,9/20/2006, AVASTIN,,Anthony,AVASTIN,1,333,Anthony,6054297,,,,"Genentech, Inc.",2551,2401,150,2005-07-08,1997-03-05,2004-02-26,BLA 125085,307,125085,2/9/2006,Therapeutic treatment of patients with ovarian cancer,Designated/Approved,,,"Avastin in combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan is indicated for the treatment of patients with platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens. Avastin, either in combination with carboplatin and paclitaxel or in combination with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensitive recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer.",12/6/2016,12/6/2023,"Either in combination with carboplatin and paclitaxel or in combination with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensitive recurrent epithelial ovarian cancer.","Genentech, Inc.",Avastin,bevacizumab,Genentech,BLA,125085,,2003-09-30,2004-02-26,2004,in combination with intravenous 5-fluorouracil-based chemotherapy is indicated for the first-line treatment of patients with metastatic carcinoma of the colon and rectum,,Priority,No,No,,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; AVASTIN,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for AVASTIN and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",71 FR 54997,E6-15555,https://www.federalregister.gov/documents/2006/09/20/E6-15555/determination-of-regulatory-review-period-for-purposes-of-patent-extension-avastin,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/E6-15555.pdf,9/20/2006, AVASTIN,,Anthony,AVASTIN,1,334,Anthony,6054297,,,,"Genentech, Inc.",2551,2401,150,2005-07-08,1997-03-05,2004-02-26,BLA 125085,307,125085,2/9/2006,Therapeutic treatment of patients with ovarian cancer,Designated/Approved,,,"Avastin, in combination with carboplatin and paclitaxel, followed by Avastin as a single agent, is indicated for the treatment of patients with stage III or IV epithelial ovarian, fallopian tube, orprimary peritoneal cancer following initial surgical resection. Avastin, in combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan, is indicated for the treatment of patients with platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens. Avastin, in combination with carboplatin and paclitaxel, or with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensitiverecurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer.",6/13/2018,6/13/2025,"In combination with carboplatin and paclitaxel, followed by Avastin as a single agent, is indicated for the treatment of patients with stage III or IV epithelial ovarian cancer following initial surgical resection.","Genentech, Inc.",Avastin,bevacizumab,Genentech,BLA,125085,,2003-09-30,2004-02-26,2004,in combination with intravenous 5-fluorouracil-based chemotherapy is indicated for the first-line treatment of patients with metastatic carcinoma of the colon and rectum,,Priority,No,No,,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; AVASTIN,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for AVASTIN and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",71 FR 54997,E6-15555,https://www.federalregister.gov/documents/2006/09/20/E6-15555/determination-of-regulatory-review-period-for-purposes-of-patent-extension-avastin,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/E6-15555.pdf,9/20/2006, AVASTIN,,Anthony,AVASTIN,1,335,Anthony,6054297,,,,"Genentech, Inc.",2551,2401,150,2005-07-08,1997-03-05,2004-02-26,BLA 125085,307,125085,2/9/2006,Therapeutic treatment of patients with ovarian cancer,Designated/Approved,,,"In combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan for treatment of patients with platinum-resistant, recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens",11/14/2014,11/14/2021,"In combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan for treatment of patients with platinum-resistant, recurrent epithelial ovarian cancer who have received no more than 2 prior chemotherapy regimens.","Genentech, Inc.",Avastin,bevacizumab,Genentech,BLA,125085,,2003-09-30,2004-02-26,2004,in combination with intravenous 5-fluorouracil-based chemotherapy is indicated for the first-line treatment of patients with metastatic carcinoma of the colon and rectum,,Priority,No,No,,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; AVASTIN,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for AVASTIN and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",71 FR 54997,E6-15555,https://www.federalregister.gov/documents/2006/09/20/E6-15555/determination-of-regulatory-review-period-for-purposes-of-patent-extension-avastin,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/E6-15555.pdf,9/20/2006, AVASTIN,,Anthony,AVASTIN,1,336,Anthony,6054297,,,,"Genentech, Inc.",2551,2401,150,2005-07-08,1997-03-05,2004-02-26,BLA 125085,307,125085,5/26/2006,Treatment of malignant glioma,Designated/Approved,,,Treatment of glioblastoma with progressive disease following prior therapy,5/5/2009,5/5/2016,,"Genentech, Inc.",Avastin,bevacizumab,Genentech,BLA,125085,,2003-09-30,2004-02-26,2004,in combination with intravenous 5-fluorouracil-based chemotherapy is indicated for the first-line treatment of patients with metastatic carcinoma of the colon and rectum,,Priority,No,No,,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; AVASTIN,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for AVASTIN and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",71 FR 54997,E6-15555,https://www.federalregister.gov/documents/2006/09/20/E6-15555/determination-of-regulatory-review-period-for-purposes-of-patent-extension-avastin,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/E6-15555.pdf,9/20/2006, AVASTIN,,Anthony,AVASTIN,1,337,Anthony,6054297,,,,"Genentech, Inc.",2551,2401,150,2005-07-08,1997-03-05,2004-02-26,BLA 125085,307,125085,11/6/2003,Treatment of renal cell carcinoma,Designated/Approved,,,Treatment of renal cell carcinoma in combination with interferon alfa,7/31/2009,7/31/2016,,"Genentech, Inc.",Avastin,bevacizumab,Genentech,BLA,125085,,2003-09-30,2004-02-26,2004,in combination with intravenous 5-fluorouracil-based chemotherapy is indicated for the first-line treatment of patients with metastatic carcinoma of the colon and rectum,,Priority,No,No,,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; AVASTIN,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for AVASTIN and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",71 FR 54997,E6-15555,https://www.federalregister.gov/documents/2006/09/20/E6-15555/determination-of-regulatory-review-period-for-purposes-of-patent-extension-avastin,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/E6-15555.pdf,9/20/2006, AVASTIN,,Anthony,AVASTIN,1,338,Anthony,6054297,,,,"Genentech, Inc.",2551,2401,150,2005-07-08,1997-03-05,2004-02-26,BLA 125085,307,125085,11/2/2010,Treatment of primary peritoneal carcinoma.,Designated/Approved,,,"Avastin in combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan is indicated for the treatment of patients with platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens. Avastin, either in combination with carboplatin and paclitaxel or in combination with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensitive recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer.",12/6/2016,12/6/2023,"Either in combination with carboplatin and paclitaxel or in combination with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensitive recurrent primary peritoneal cancer.","Genentech, Inc.",Avastin,bevacizumab,Genentech,BLA,125085,,2003-09-30,2004-02-26,2004,in combination with intravenous 5-fluorouracil-based chemotherapy is indicated for the first-line treatment of patients with metastatic carcinoma of the colon and rectum,,Priority,No,No,,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; AVASTIN,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for AVASTIN and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",71 FR 54997,E6-15555,https://www.federalregister.gov/documents/2006/09/20/E6-15555/determination-of-regulatory-review-period-for-purposes-of-patent-extension-avastin,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/E6-15555.pdf,9/20/2006, AVASTIN,,Anthony,AVASTIN,1,339,Anthony,6054297,,,,"Genentech, Inc.",2551,2401,150,2005-07-08,1997-03-05,2004-02-26,BLA 125085,307,125085,11/23/2010,Treatment of fallopian tube carcinoma,Designated/Approved,,,"Avastin in combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan is indicated for the treatment of patients with platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens. Avastin, either in combination with carboplatin and paclitaxel or in combination with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensitive recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer.",12/6/2016,12/6/2023,"Either in combination with carboplatin and paclitaxel or in combination with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensitive recurrent fallopian tube cancer.","Genentech, Inc.",Avastin,bevacizumab,Genentech,BLA,125085,,2003-09-30,2004-02-26,2004,in combination with intravenous 5-fluorouracil-based chemotherapy is indicated for the first-line treatment of patients with metastatic carcinoma of the colon and rectum,,Priority,No,No,,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; AVASTIN,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for AVASTIN and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",71 FR 54997,E6-15555,https://www.federalregister.gov/documents/2006/09/20/E6-15555/determination-of-regulatory-review-period-for-purposes-of-patent-extension-avastin,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/E6-15555.pdf,9/20/2006, AVASTIN,,Anthony,AVASTIN,1,340,Anthony,6054297,,,,"Genentech, Inc.",2551,2401,150,2005-07-08,1997-03-05,2004-02-26,BLA 125085,307,125085,11/23/2010,Treatment of fallopian tube carcinoma,Designated/Approved,,,"Avastin, in combination with carboplatin and paclitaxel, followed by Avastin as a single agent, is indicated for the treatment of patients with stage III or IV epithelial ovarian, fallopian tube, orprimary peritoneal cancer following initial surgical resection. Avastin, in combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan, is indicated for the treatment of patients with platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens. Avastin, in combination with carboplatin and paclitaxel, or with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensitiverecurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer.",6/13/2018,6/13/2025,"In combination with carboplatin and paclitaxel, followed by Avastin as a single agent, is indicated for the treatment of patients with stage III or IV fallopian tube cancer following initial surgical resection.","Genentech, Inc.",Avastin,bevacizumab,Genentech,BLA,125085,,2003-09-30,2004-02-26,2004,in combination with intravenous 5-fluorouracil-based chemotherapy is indicated for the first-line treatment of patients with metastatic carcinoma of the colon and rectum,,Priority,No,No,,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; AVASTIN,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for AVASTIN and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",71 FR 54997,E6-15555,https://www.federalregister.gov/documents/2006/09/20/E6-15555/determination-of-regulatory-review-period-for-purposes-of-patent-extension-avastin,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/E6-15555.pdf,9/20/2006, AVASTIN,,Anthony,AVASTIN,1,341,Anthony,6054297,,,,"Genentech, Inc.",2551,2401,150,2005-07-08,1997-03-05,2004-02-26,BLA 125085,307,125085,11/2/2010,Treatment of primary peritoneal carcinoma.,Designated/Approved,,,"Avastin, in combination with carboplatin and paclitaxel, followed by Avastin as a single agent, is indicated for the treatment of patients with stage III or IV epithelial ovarian, fallopian tube, orprimary peritoneal cancer following initial surgical resection. Avastin, in combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan, is indicated for the treatment of patients with platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens. Avastin, in combination with carboplatin and paclitaxel, or with carboplatin and gemcitabine, followed by Avastin as a single agent, is indicated for the treatment of patients with platinum-sensitiverecurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer.",6/13/2018,6/13/2025,"In combination with carboplatin and paclitaxel, followed by Avastin as a single agent, is indicated for the treatment of patients with stage III or IV primary peritoneal cancer following initial surgical resection.","Genentech, Inc.",Avastin,bevacizumab,Genentech,BLA,125085,,2003-09-30,2004-02-26,2004,in combination with intravenous 5-fluorouracil-based chemotherapy is indicated for the first-line treatment of patients with metastatic carcinoma of the colon and rectum,,Priority,No,No,,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; AVASTIN,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for AVASTIN and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",71 FR 54997,E6-15555,https://www.federalregister.gov/documents/2006/09/20/E6-15555/determination-of-regulatory-review-period-for-purposes-of-patent-extension-avastin,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/E6-15555.pdf,9/20/2006, AVASTIN,,Anthony,AVASTIN,1,342,Anthony,6054297,,,,"Genentech, Inc.",2551,2401,150,2005-07-08,1997-03-05,2004-02-26,BLA 125085,307,125085,11/2/2010,Treatment of primary peritoneal carcinoma.,Designated/Approved,,,"In combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan for treatment of patients with platinum-resistant, recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than 2 prior chemotherapy regimens",11/14/2014,11/14/2021,"In combination with paclitaxel, pegylated liposomal doxorubicin, or topotecan for treatment of patients with platinum-resistant, recurrent primary peritoneal cancer who received no more than 2 prior chemotherapy regimens","Genentech, Inc.",Avastin,bevacizumab,Genentech,BLA,125085,,2003-09-30,2004-02-26,2004,in combination with intravenous 5-fluorouracil-based chemotherapy is indicated for the first-line treatment of patients with metastatic carcinoma of the colon and rectum,,Priority,No,No,,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; MACUGEN,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for MACUGEN and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",71 FR 54998,E6-15556,https://www.federalregister.gov/documents/2006/09/20/E6-15556/determination-of-regulatory-review-period-for-purposes-of-patent-extension-macugen,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/E6-15556.pdf,9/20/2006, MACUGEN,,Anthony,MACUGEN,1,343,Anthony,6051698,,,,"Gilead Sciences, Inc.",2312,2128,184,2005-06-28,1998-08-21,2004-12-17,NDA 21-756,990,21756,,,,,,,,,,,Macugen,pegaptanib sodium,Eyetech Pharmaceuticals,NDA,21756,,2004-06-17,2004-12-17,2004,treatment of neovascular (wet) age-related macular degeneration,,Priority,No,No,,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; APTIVUS,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for APTIVUS and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",71 FR 54995,E6-15553,https://www.federalregister.gov/documents/2006/09/20/E6-15553/determination-of-regulatory-review-period-for-purposes-of-patent-extension-aptivus,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/E6-15553.pdf,9/20/2006, APTIVUS,,Anthony,APTIVUS,1,344,Anthony,5852195,,,,"Pharmacia & Upjohn Co., LLC",3114,2931,183,2006-02-24,1996-12-14,2005-06-22,NDA 21-814,1278,21814,,,,,,,,,,,Aptivus,tipranavir,Boehringer Ingelheim Pharmaceuticals,NDA,21814,,2004-12-22,2005-06-22,2005,"co-administered with ritonavir, is indicated for combination antiretroviral treatment of HIV-1 infected adult patients with evidence of viral replication, who are highly treatment-experienced or have HIV-1 strains resistant to multiple protease inhibitors",,Priority,No,Yes,,No
Determination of Regulatory Review Period for Purposes of Patent Extension; CYDECTIN,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for CYDECTIN and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",71 FR 54993,Jun-00,https://www.federalregister.gov/documents/2006/09/20/06-7800/determination-of-regulatory-review-period-for-purposes-of-patent-extension-cydectin,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/06-7800.pdf,9/20/2006, CYDECTIN,,Anthony,CYDECTIN,1,345,Anthony,4916154,,,,American Cyanamid Company,2857,2841,16,2004-04-06,1998-01-28,1998-01-28,NADA 141-099,1754,141099,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; MYCAMINE-New Drug Application 21-754,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for MYCAMINE and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",71 FR 54994,Jun-85,https://www.federalregister.gov/documents/2006/09/20/06-7985/determination-of-regulatory-review-period-for-purposes-of-patent-extension-mycamine-new-drug,https://www.govinfo.gov/content/pkg/FR-2006-09-20/pdf/06-7985.pdf,9/20/2006, MYCAMINE-New Drug Application 21-754,,Anthony,MYCAMINE,2,347,Anthony,6107458 and 6265536,,,,"Astellas Pharma, Inc.",2546,2221,325,2006-02-24,1998-03-29,2005-03-16,NDA 21-754,476,21754,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; CLOLAR,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for CLOLAR and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",71 FR 55799,15-Jun,https://www.federalregister.gov/documents/2006/09/25/06-8115/determination-of-regulatory-review-period-for-purposes-of-patent-extension-clolar,https://www.govinfo.gov/content/pkg/FR-2006-09-25/pdf/06-8115.pdf,9/25/2006, CLOLAR,,Anthony,CLOLAR,1,348,Anthony,5661136,,,,Southern Research Institute,2200,1926,274,2006-02-24,1998-12-22,2004-12-28,NDA 21-673,1303,21673,2/7/2002,Treatment of acute lymphoblastic leukemia,Designated/Approved,,,Treatment of pediatric patients 1 to 21 years old with relapsed or refractory acute lymphoblastic leukemia after at least two prior regimens,12/28/2004,12/28/2011,,Genzyme Corporation,Clolar,clofarbine,Genzyme,NDA,21673,,2004-03-30,2004-12-28,2004,treatment of pediatric patients 1 to 21 years old with relapsed or refractory acute lymphoblastic leukemia after at least two prior regimens,,Priority,Yes,Yes,,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; KETEK,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for KETEK and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent that claims that human drug product.",71 FR 56156,E6-15690,https://www.federalregister.gov/documents/2006/09/26/E6-15690/determination-of-regulatory-review-period-for-purposes-of-patent-extension-ketek,https://www.govinfo.gov/content/pkg/FR-2006-09-26/pdf/E6-15690.pdf,9/26/2006, KETEK,,Anthony,KETEK,1,349,Anthony,5635485,,,,Aventis S. A.,2206,713,1493,2006-03-29,1998-03-20,2004-04-01,NDA 21-144,1076,21144,,,,,,,,,,,Ketek,telithromycin,Aventis Pharmaceuticals,NDA,21144,,2000-03-01,2004-04-01,2004,"treatment of infections caused by susceptible strains of  designated microorganisms in the conditions listed below, for patients 18 years old and above:  acute bacterial exacerbation of chronic bronchitis,  acute bacterial sinusitis, community-acquired pneumonia (of mild to moderate severity)",,Standard,No,No,,No
