title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date,Title Product,Title Note,Assignment,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat Term Ext
Determination of Regulatory Review Period for Purposes of Patent Extension; LUMASON,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for LUMASON and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",81 FR 63770,2016-22345,https://www.federalregister.gov/documents/2016/09/16/2016-22345/determination-of-regulatory-review-period-for-purposes-of-patent-extension-lumason,https://www.govinfo.gov/content/pkg/FR-2016-09-16/pdf/2016-22345.pdf,2016-09-16, LUMASON,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; RESQCPR SYSTEM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for RESQCPR SYSTEM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",81 FR 63771,2016-22343,https://www.federalregister.gov/documents/2016/09/16/2016-22343/determination-of-regulatory-review-period-for-purposes-of-patent-extension-resqcpr-system,https://www.govinfo.gov/content/pkg/FR-2016-09-16/pdf/2016-22343.pdf,2016-09-16, RESQCPR SYSTEM,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; MYALEPT,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for MYALEPT and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 65656,2016-22935,https://www.federalregister.gov/documents/2016/09/23/2016-22935/determination-of-regulatory-review-period-for-purposes-of-patent-extension-myalept,https://www.govinfo.gov/content/pkg/FR-2016-09-23/pdf/2016-22935.pdf,2016-09-23, MYALEPT,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; FYCOMPA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for FYCOMPA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",81 FR 65655,2016-22933,https://www.federalregister.gov/documents/2016/09/23/2016-22933/determination-of-regulatory-review-period-for-purposes-of-patent-extension-fycompa,https://www.govinfo.gov/content/pkg/FR-2016-09-23/pdf/2016-22933.pdf,2016-09-23, FYCOMPA,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; BELVIQ,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for BELVIQ and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",81 FR 65658,2016-22937,https://www.federalregister.gov/documents/2016/09/23/2016-22937/determination-of-regulatory-review-period-for-purposes-of-patent-extension-belviq,https://www.govinfo.gov/content/pkg/FR-2016-09-23/pdf/2016-22937.pdf,2016-09-23, BELVIQ,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; IONSYS,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for IONSYS and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",81 FR 66662,2016-23330,https://www.federalregister.gov/documents/2016/09/28/2016-23330/determination-of-regulatory-review-period-for-purposes-of-patent-extension-ionsys,https://www.govinfo.gov/content/pkg/FR-2016-09-28/pdf/2016-23330.pdf,2016-09-28, IONSYS,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; REPATHA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for REPATHA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 72059,2016-25221,https://www.federalregister.gov/documents/2016/10/19/2016-25221/determination-of-regulatory-review-period-for-purposes-of-patent-extension-repatha,https://www.govinfo.gov/content/pkg/FR-2016-10-19/pdf/2016-25221.pdf,2016-10-19, REPATHA,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; PLEGRIDY,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for PLEGRIDY and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 72062,2016-25222,https://www.federalregister.gov/documents/2016/10/19/2016-25222/determination-of-regulatory-review-period-for-purposes-of-patent-extension-plegridy,https://www.govinfo.gov/content/pkg/FR-2016-10-19/pdf/2016-25222.pdf,2016-10-19, PLEGRIDY,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; PRILOSEC OTC,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for PRILOSEC OTC and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",81 FR 72060,2016-25220,https://www.federalregister.gov/documents/2016/10/19/2016-25220/determination-of-regulatory-review-period-for-purposes-of-patent-extension-prilosec-otc,https://www.govinfo.gov/content/pkg/FR-2016-10-19/pdf/2016-25220.pdf,2016-10-19, PRILOSEC OTC,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ANAVIP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for ANAVIP and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 83845,2016-28049,https://www.federalregister.gov/documents/2016/11/22/2016-28049/determination-of-regulatory-review-period-for-purposes-of-patent-extension-anavip,https://www.govinfo.gov/content/pkg/FR-2016-11-22/pdf/2016-28049.pdf,2016-11-22, ANAVIP,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; RUCONEST,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for RUCONEST and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 83850,2016-28046,https://www.federalregister.gov/documents/2016/11/22/2016-28046/determination-of-regulatory-review-period-for-purposes-of-patent-extension-ruconest,https://www.govinfo.gov/content/pkg/FR-2016-11-22/pdf/2016-28046.pdf,2016-11-22, RUCONEST,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; CERDELGA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for CERDELGA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",81 FR 83852,2016-28045,https://www.federalregister.gov/documents/2016/11/22/2016-28045/determination-of-regulatory-review-period-for-purposes-of-patent-extension-cerdelga,https://www.govinfo.gov/content/pkg/FR-2016-11-22/pdf/2016-28045.pdf,2016-11-22, CERDELGA,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; CORE VALVE SYSTEM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for CORE VALVE SYSTEM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",81 FR 83849,2016-28047,https://www.federalregister.gov/documents/2016/11/22/2016-28047/determination-of-regulatory-review-period-for-purposes-of-patent-extension-core-valve-system,https://www.govinfo.gov/content/pkg/FR-2016-11-22/pdf/2016-28047.pdf,2016-11-22, CORE VALVE SYSTEM,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; IXINITY,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for IXINITY and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 85965,2016-28653,https://www.federalregister.gov/documents/2016/11/29/2016-28653/determination-of-regulatory-review-period-for-purposes-of-patent-extension-ixinity,https://www.govinfo.gov/content/pkg/FR-2016-11-29/pdf/2016-28653.pdf,2016-11-29, IXINITY,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NUWIQ,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for NUWIQ and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 85974,2016-28654,https://www.federalregister.gov/documents/2016/11/29/2016-28654/determination-of-regulatory-review-period-for-purposes-of-patent-extension-nuwiq,https://www.govinfo.gov/content/pkg/FR-2016-11-29/pdf/2016-28654.pdf,2016-11-29, NUWIQ,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; TRUMENBA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for TRUMENBA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87041,2016-28916,https://www.federalregister.gov/documents/2016/12/02/2016-28916/determination-of-regulatory-review-period-for-purposes-of-patent-extension-trumenba,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28916.pdf,2016-12-02, TRUMENBA,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; OPDIVO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for OPDIVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87044,2016-28917,https://www.federalregister.gov/documents/2016/12/02/2016-28917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-opdivo,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28917.pdf,2016-12-02, OPDIVO,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; TRESIBA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for TRESIBA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",81 FR 87045,2016-28939,https://www.federalregister.gov/documents/2016/12/02/2016-28939/determination-of-regulatory-review-period-for-purposes-of-patent-extension-tresiba,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28939.pdf,2016-12-02, TRESIBA,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; BEXSERO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for BEXSERO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87568,2016-29025,https://www.federalregister.gov/documents/2016/12/05/2016-29025/determination-of-regulatory-review-period-for-purposes-of-patent-extension-bexsero,https://www.govinfo.gov/content/pkg/FR-2016-12-05/pdf/2016-29025.pdf,2016-12-05, BEXSERO,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; GARDASIL 9,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for GARDASIL 9 and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 88245,2016-29303,https://www.federalregister.gov/documents/2016/12/07/2016-29303/determination-of-regulatory-review-period-for-purposes-of-patent-extension-gardasil-9,https://www.govinfo.gov/content/pkg/FR-2016-12-07/pdf/2016-29303.pdf,2016-12-07, GARDASIL 9,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NUCALA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for NUCALA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 89946,2016-29838,https://www.federalregister.gov/documents/2016/12/13/2016-29838/determination-of-regulatory-review-period-for-purposes-of-patent-extension-nucala,https://www.govinfo.gov/content/pkg/FR-2016-12-13/pdf/2016-29838.pdf,2016-12-13, NUCALA,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; TRULICITY,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for TRULICITY and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 91938,2016-30399,https://www.federalregister.gov/documents/2016/12/19/2016-30399/determination-of-regulatory-review-period-for-purposes-of-patent-extension-trulicity,https://www.govinfo.gov/content/pkg/FR-2016-12-19/pdf/2016-30399.pdf,2016-12-19, TRULICITY,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; COSENTYX,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for COSENTYX and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 92832,2016-30528,https://www.federalregister.gov/documents/2016/12/20/2016-30528/determination-of-regulatory-review-period-for-purposes-of-patent-extension-cosentyx,https://www.govinfo.gov/content/pkg/FR-2016-12-20/pdf/2016-30528.pdf,2016-12-20, COSENTYX,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; IMLYGIC,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for IMLYGIC and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 95618,2016-31322,https://www.federalregister.gov/documents/2016/12/28/2016-31322/determination-of-regulatory-review-period-for-purposes-of-patent-extension-imlygic,https://www.govinfo.gov/content/pkg/FR-2016-12-28/pdf/2016-31322.pdf,2016-12-28, IMLYGIC,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; EMPLICITI,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for EMPLICITI and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",82 FR 2380,2017-00108,https://www.federalregister.gov/documents/2017/01/09/2017-00108/determination-of-regulatory-review-period-for-purposes-of-patent-extension-empliciti,https://www.govinfo.gov/content/pkg/FR-2017-01-09/pdf/2017-00108.pdf,2017-01-09, EMPLICITI,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ADYNOVATE,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for ADYNOVATE and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",82 FR 2378,2017-00095,https://www.federalregister.gov/documents/2017/01/09/2017-00095/determination-of-regulatory-review-period-for-purposes-of-patent-extension-adynovate,https://www.govinfo.gov/content/pkg/FR-2017-01-09/pdf/2017-00095.pdf,2017-01-09, ADYNOVATE,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; HETLIOZ,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for HETLIOZ and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",82 FR 27261,2017-12323,https://www.federalregister.gov/documents/2017/06/14/2017-12323/determination-of-regulatory-review-period-for-purposes-of-patent-extension-hetlioz,https://www.govinfo.gov/content/pkg/FR-2017-06-14/pdf/2017-12323.pdf,2017-06-14, HETLIOZ,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NEUROPACE RNS SYSTEM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for NEUROPACE RNS SYSTEM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",82 FR 27266,2017-12322,https://www.federalregister.gov/documents/2017/06/14/2017-12322/determination-of-regulatory-review-period-for-purposes-of-patent-extension-neuropace-rns-system,https://www.govinfo.gov/content/pkg/FR-2017-06-14/pdf/2017-12322.pdf,2017-06-14, NEUROPACE RNS SYSTEM,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NATPARA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for NATPARA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",82 FR 27496,2017-12359,https://www.federalregister.gov/documents/2017/06/15/2017-12359/determination-of-regulatory-review-period-for-purposes-of-patent-extension-natpara,https://www.govinfo.gov/content/pkg/FR-2017-06-15/pdf/2017-12359.pdf,2017-06-15, NATPARA,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Intercept Blood System for Plasma,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for INTERCEPT BLOOD SYSTEM FOR PLASMA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",82 FR 31974,2017-14454,https://www.federalregister.gov/documents/2017/07/11/2017-14454/determination-of-regulatory-review-period-for-purposes-of-patent-extension-intercept-blood-system,https://www.govinfo.gov/content/pkg/FR-2017-07-11/pdf/2017-14454.pdf,2017-07-11, Intercept Blood System for Plasma,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Intercept Blood System for Platelets,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for Intercept Blood System for Platelets and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",82 FR 32002,2017-14455,https://www.federalregister.gov/documents/2017/07/11/2017-14455/determination-of-regulatory-review-period-for-purposes-of-patent-extension-intercept-blood-system,https://www.govinfo.gov/content/pkg/FR-2017-07-11/pdf/2017-14455.pdf,2017-07-11, Intercept Blood System for Platelets,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; CINQAIR,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for CINQAIR and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",82 FR 36790,2017-16516,https://www.federalregister.gov/documents/2017/08/07/2017-16516/determination-of-regulatory-review-period-for-purposes-of-patent-extension-cinqair,https://www.govinfo.gov/content/pkg/FR-2017-08-07/pdf/2017-16516.pdf,2017-08-07, CINQAIR,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; VONVENDI,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for VONVENDI and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",82 FR 36794,2017-16515,https://www.federalregister.gov/documents/2017/08/07/2017-16515/determination-of-regulatory-review-period-for-purposes-of-patent-extension-vonvendi,https://www.govinfo.gov/content/pkg/FR-2017-08-07/pdf/2017-16515.pdf,2017-08-07, VONVENDI,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; RECUVYRA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for RECUVYRA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that animal drug product.",82 FR 39587,2017-17566,https://www.federalregister.gov/documents/2017/08/21/2017-17566/determination-of-regulatory-review-period-for-purposes-of-patent-extension-recuvyra,https://www.govinfo.gov/content/pkg/FR-2017-08-21/pdf/2017-17566.pdf,2017-08-21, RECUVYRA,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; RECUVYRA; Affirmation,Notice,Health and Human Services Department; Food and Drug Administration,,82 FR 40008,2017-17961,https://www.federalregister.gov/documents/2017/08/23/2017-17961/determination-of-regulatory-review-period-for-purposes-of-patent-extension-recuvyra-affirmation,https://www.govinfo.gov/content/pkg/FR-2017-08-23/pdf/2017-17961.pdf,2017-08-23, RECUVYRA, Affirmation,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; XTORO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for XTORO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",82 FR 41271,2017-18379,https://www.federalregister.gov/documents/2017/08/30/2017-18379/determination-of-regulatory-review-period-for-purposes-of-patent-extension-xtoro,https://www.govinfo.gov/content/pkg/FR-2017-08-30/pdf/2017-18379.pdf,2017-08-30, XTORO,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; KENGREAL,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for KENGREAL and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",82 FR 41274,2017-18380,https://www.federalregister.gov/documents/2017/08/30/2017-18380/determination-of-regulatory-review-period-for-purposes-of-patent-extension-kengreal,https://www.govinfo.gov/content/pkg/FR-2017-08-30/pdf/2017-18380.pdf,2017-08-30, KENGREAL,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; KOVALTRY,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for KOVALTRY and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",82 FR 46496,2017-21421,https://www.federalregister.gov/documents/2017/10/05/2017-21421/determination-of-regulatory-review-period-for-purposes-of-patent-extension-kovaltry,https://www.govinfo.gov/content/pkg/FR-2017-10-05/pdf/2017-21421.pdf,2017-10-05, KOVALTRY,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; TECFIDERA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for TECFIDERA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",82 FR 46502,2017-21435,https://www.federalregister.gov/documents/2017/10/05/2017-21435/determination-of-regulatory-review-period-for-purposes-of-patent-extension-tecfidera,https://www.govinfo.gov/content/pkg/FR-2017-10-05/pdf/2017-21435.pdf,2017-10-05, TECFIDERA,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; IMPELLA 2.5 SYSTEM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for IMPELLA 2.5 SYSTEM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",82 FR 46498,2017-21436,https://www.federalregister.gov/documents/2017/10/05/2017-21436/determination-of-regulatory-review-period-for-purposes-of-patent-extension-impella-25-system,https://www.govinfo.gov/content/pkg/FR-2017-10-05/pdf/2017-21436.pdf,2017-10-05, IMPELLA 2.5 SYSTEM,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; OBIZUR,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for OBIZUR and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",82 FR 49031,2017-22898,https://www.federalregister.gov/documents/2017/10/23/2017-22898/determination-of-regulatory-review-period-for-purposes-of-patent-extension-obizur,https://www.govinfo.gov/content/pkg/FR-2017-10-23/pdf/2017-22898.pdf,2017-10-23, OBIZUR,,Jonathan,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; MITRACLIP CDS,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA or the Agency) has determined the regulatory review period for MITRACLIP CDS and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",82 FR 49027,2017-22895,https://www.federalregister.gov/documents/2017/10/23/2017-22895/determination-of-regulatory-review-period-for-purposes-of-patent-extension-mitraclip-cds,https://www.govinfo.gov/content/pkg/FR-2017-10-23/pdf/2017-22895.pdf,2017-10-23, MITRACLIP CDS,,Jonathan,,,,,,,,,,,
