document_id,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat term ext
E7-9720,,"5,199,939",Guidant Corp,1523,1203,320,,,"November 2, 2001","the date the investigational device exemption (IDE) required under section 520(g) of the act for human tests to begin became effective September 3, 1997.
                

                    2. 
                    The date the application",1062
E7-9787,FOSRENOL (lanthanum carbonate hydrate,"5,968,976","Shire International Licensing, B",2449,1538,911,"February 13, 1998","April 30, 2002","October 26, 2004",the date the investigational new drug application became effective,951
E7-9945,,"5,851,795","Bristol-Myers Squibb Company, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3803,3536,267,"July 28, 1995",,"December 23, 2005",the date the investigational new drug application became effective,1414
E7-9951,,"5,932,211","Women's and Children's Hospital, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2008,1764,244,,,"July 24, 2006",the biologics license application (BLA) for ELAPRASE (BLA 125151),1103
E7-9957,BEXTRA (valdecoxib,"5,633,272",G,1767,1462,305,,"January 16, 2001","November 16, 2001",the new drug application (NDA) for Bextra (NDA 21-341),276
E7-9950,,"5,820,870",Merck & Co,2215,2031,184,,,"June 8, 2006",the product license application (BLA) for GARDASIL (BLA 125126/0),1200
E7-10052,SOMAVERT (pegvisomant,"5,849,535","Genentech, Inc",2169,1349,820,"April 18, 1997","December 26, 2000","March 25, 2003",the date the investigational new drug application became effective,466
E7-10087,,"6,118,045",Genzyme Corp,1225,950,275,,,"April 28, 2006",BLA 125141/0,1251
E7-10147,PREZISTA (darunavir ethanolate,"6,248,775",G,1253,1070,183,,"December 23, 2005","June 23, 2006",the new drug application (NDA) for PREZISTA (NDA 21-976),717
E7-10127,,"4,958,632","Medtronic, Inc",401403716,358,358,,,"January 30, 1998",PMA 970012,358
E7-10089,SPRYCEL—NDAs 21-986 and 22-072 (dasatinib,"6,596,746","Bristol-Myers Squibb Company, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",21986220721183,1000,183,,"December 28, 2005",,,76
E7-10602,,"4,900,735",Intervet International B,4720,4674,46,,,"August 10, 2006",the date the investigational new animal drug application (INAD) became effective,
E7-10632,,"5,101,013","Hoechst Aktiengesellschaft, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1591,1227,364,"December 14, 1995","April 23, 1999","April 20, 2000",the date the investigational new drug application became effective,976
E7-10631,,"5,192,319","Ophtec USA, Inc",2545,2107,438,,,"September 10, 2004","the date the investigational device exemption (IDE) required under section 520(g) of the act for human tests to begin became effective September 24, 1997.
                

                    2. 
                    The date the application",1484
E7-10633,,"5,124,316","Biomimetic Therapeutics, Inc",211361,744,617,,,"November 18, 2005","the date the investigational device exemption (IDE) required under section 520(g) of the act for human tests to begin became effective February 28, 2002.
                

                    2. 
                    The date the application",987
E7-10618,,"6,235,030",St,2224,1538,686,,,"November 21, 2005",the premarket approval application (PMA) for X-STOP INTERSPINOUS PROCESS DECOMPRESSION SYSTEM (PMA P040001),1053
E7-10730,", NAMENDA 
                    

      ( print page 31076",,"Forest Laboratories, Inc",5001,4699,302,,"December 19, 2002","October 16, 2003",the new drug application (NDA) (NDA 21-487),1250
E7-10853,RAPLON (Rapacuronium Bromide,"5,418,226",Akzo Nobel N,1724,1304,420,,"June 25, 1998","August 18, 1999",the new drug application (NDA) for RAPLON (NDA 20-984),126
E7-10915,CHANTIX (varenicline tartrate,"6,410,550","Pfizer, Inc",2401,2219,182,,"November 10, 2005","May 10, 2006",the new drug application (NDA) for CHANTIX (NDA 21-928),545
E8-6851,,"5,470,932","Alcon Manufacturing, Ltd",1084,538,546,,,"June 24, 2003",PMA P930014/S009,832
E8-9592,,"5,344,452","Artes Medical USA, Inc",3530,1859,1671,,,"October 27, 2006","the date the investigational device exemption (IDE) required under section 520(g) of the act for human tests to begin became effective February 28, 1997.
                

                    2. 
                    The date an application",1827
E8-9591,,"5,453,446","Teva Pharmaceutical Industries, Ltd",4269,3284,985,,"September 5, 2003","May 16, 2006",the new drug application (NDA) for Azilect (NDA 21-641),1827
E8-9699,TEKTURNA (aliskiren hemifumarate,"5,559,111","Novartis Corporation, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2023,1637,386,"August 22, 2001",,"March 5, 2007",the date the investigational new drug application became effective,2022
E8-10466,,"5,482,934","Altana Pharma AG, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3196,2893,303,"January 21, 1998","December 22, 2005","October 20, 2006",the date the investigational new drug application became effective,1748
E8-10512,,"6,235,883",Amgen Fremont Inc,2662,2479,183,,,"September 27, 2006",BLA 125147/0,1122
E8-10685,INVEGA (paliperidone,"5,158,952","Janssen, L",1406,1021,385,,"November 30, 2005","December 19, 2006",the new drug application (NDA) for INVEGA (NDA 21-999),896
E8-10689,ZOLINZA (vorinostat,RE38506 E,"Sloan-Kettering Institute for Cancer Research, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2449,2266,183,,"April 7, 2006","October 6, 2006",NDA 21-991,1433
E8-10726,,"6,639,055","Genentech, Inc",2551,2401,150,,,"February 26, 2004",BLA 125085/0,121
E8-10857,,,"Idenix Pharmaceuticals, Inc",2309,2009,300,,,"October 25, 2006",the new drug application (NDA) for TYZEKA (NDA 22-011),442
E8-12007,,,"Genentech, Inc",2430,2247,183,,,"June 30, 2006",BLA 125156/0,
E8-12296,,,Mitsui Norin Co,3002,2605,397,,"September 30, 2005","October 31, 2006",NDA 21-902,1300
E8-12300,,,,,,,,,,,
E8-13109,,"5,626,851","the Wistar Institute of Anatomy and Biology and the Children's Hospital of Philadelphia, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",4577,4272,305,,,"February 3, 2006",,
E8-14156,", ERAXIS (anidulafungin","5,965,525",Eli Lilly and Co,3476,2446,1030,,"April 25, 2003","February 17, 2006",NDA 21-948,1224
E8-26679,TYKERB (lapatinib,"6,713,485",SmithKline Beecham Corp,2260,2078,182,"January 5, 2001","September 13, 2006","March 13, 2007",the date the investigational new drug application became effective,628
E8-26678,IXEMPRA (ixabepilone,"6,605,599",Bristol Myers Squibb Co,3002,2818,184,,"April 16, 2007","October 16, 2007",the new drug application (NDA) for Ixempra (NDA 22-065),854
E8-27179,SOMATULINE DEPOT (lanreotide,"5,595,760","Society De Conseils De Recherches Et D'Applications Scientifiques, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3629,3324,305,"September 24, 1997","October 30, 2006","August 30, 2007",the date the investigational new drug application became effective,
E9-2683,LETAIRIS (ambrisentan,,Abbott Gmbh & Co,1871,1691,180,,"December 18, 2006","June 15, 2007",the new drug application (NDA) for LETAIRIS (NDA 22-081),
E9-2681,", LUNESTA (eszopiclone","6,444,673","Sepracor, Inc",1941,1256,685,,"January 31, 2003","December 15, 2004",NDA 21-476,760
E9-2812,,"6,583,272",Hoffmann-La Roche Inc,2140,1565,575,,,"November 14, 2007",BLA B125164/0,
E9-2813,SELZENTRY (maraviroc,"6,667,314",Pfizer Inc,1524,1294,230,,"December 20, 2006","August 6, 2007",NDA 22-128,73
E9-2684,,"5,364,646",Dr,2751,2715,36,,,"April 30, 2007",the new animal drug application (NADA) for VETMEDIN (NADA 141-273),1492
E9-2903,,,"Uroplasty, Inc",2651,1973,678,,,"October 30, 2006",PMA P040050,1640
E9-4374,,"5,624,411","Medtronic, Inc",1507,1068,439,,,"February 1, 2008",the date the investigational device exemption (IDE) required under section 520(g) of the act for human tests to begin became effective,954
E9-4526,,"6,355,245","Alexion Pharmaceuticals, Inc",1360,1177,183,"June 27, 2003",,"March 16, 2007",the date the investigational new drug application became effective,735
E9-4770,ARRANON (nelarabine,"5,424,295",",SmithKline Beecham Corp",4163,3980,183,"June 7, 1994","April 29, 2005","October 28, 2005",the date the investigational new drug application became effective,
E9-4914,ALTABAX OINTMENT (retapamulin,"RE39,128E",SmithKline Beecham P,1602,1297,305,"November 24, 2002","June 12, 2006","April 12, 2007",the date the investigational new drug application became effective,833
E9-5109,,"6,255,320",Pfizer Inc,1887,1841,46,,,"January 29, 2007",NADA 141-262,267
E9-5112,,"6,222,038",Pfizer Inc,1887,1841,46,,,"January 29, 2007",NADA 141-263,1078
E9-5374,,"5,514,773",Astellas Pharma Inc,1585,1542,43,,,"June 29, 2007",NADA 141-275,1314
E9-10818,NEUPRO TRANSDERMAL SYSTEM (rotigotine,"6,884,434","Schwarz Pharma Limited, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",4367,3535,832,"May 27, 1995","January 28, 2005","May 9, 2007",the date the investigational new drug application became effective,744
E9-11219,SENSIPAR (cinacalcet hydrochloride,,"NPS Pharmaceuticals, Inc",2089,1906,183,,"September 8, 2003","March 8, 2004",NDA 21-688,
E9-12050,INTELENCE (etravirine,"7,037,917","Janssen Pharmaceutica, N",2235,2050,185,,"July 18, 2007","January 18, 2008",the new drug application (NDA) for INTELENCE (NDA 22-187),404
E9-18034,DUREZOL (difluprednate ophthalmic emulsion,"6,114,319",Senju Pharmaceutical Co,560,369,181,,,"June 23, 2008","the investigational new drug application became effective on December 13, 2006.
                

                    2. 
                    The date the application",369
E9-18032,RAPAFLO (silodosin,"5,387,603",Kissei Pharmaceutical Co,3681,3380,301,,"December 13, 2007","October 8, 2008",the new drug application (NDA) for RAPAFLO (NDA 22-206),1826
E9-18527,EOVIST (gadoxetate disodium,"6,039,931","Bayer Schering Pharma Aktiengesellschaft, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3818,3450,368,,"July 2, 2007","July 3, 2008",NDA 22-090,1699
E9-18528,,,"ZymoGenetics, Inc",1511,1115,396,"November 30, 2003",,"January 17, 2008",,952
E9-18530,,"5,451,233","Abbott Cardiovascular Systems, Inc",1157,759,398,,,"July 2, 2008","the date the investigational device exemption (IDE) required under section 520(g) of the act for human tests to begin became effective on May 4, 2005.
                

                    2. 
                    The date an application",937
E9-19233,,"6,835,809",Amgen Inc,2319,2014,305,,,"August 22, 2008",the biologics license application (BLA) for NPLATE (BLA 125268/0),818
E9-20307,LEXISCAN (regadenoson monohydrate,,"CV Therapeutics, Inc",2446,2113,333,,"May 14, 2007","April 10, 2008",the new drug application (NDA) 22-161,
E9-21100,TAPENTADOL HYDROCHLORIDE (tapentadol hydrochloride,"RE 39,593","Grunenthal GmbH, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2880,2577,303,"January 3, 2001","January 23, 2008","November 20, 2008",the date the investigational new drug application became effective,1492
E9-21428,BANZEL (rufinamide,"6,740,669","Novartis AG, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",6595,5501,1094,"October 27, 1990","November 17, 2005","November 14, 2008",the date the investigational new drug application became effective,819
E9-21365,DORIBAX (doripenem monohydrate,"5,317,016","Shionogi Seiyaku Kabushiki Kaisha, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1746,1442,304,"January 2, 2003","December 13, 2006","October 12, 2007",the date the investigational new drug application became effective,1025
E9-21424,,"6,306,141","Medtronic, Inc",4024,3843,181,,,"April 15, 2008","the date the investigational device exemption (IDE) required under section 
                    

      ( print page 45866)
    
                    520(g) of the act for human tests to begin became effective April 11, 1997.
                

                    2. 
                    The date an application",1183
E9-23650,CLEVIPREX (clevidipine butyrate,,"AstraZeneca AB, and the Patent and Trademark Office requested FDA's assistance in determining the patents' eligibilities for patent term restoration",4475,4078,397,"May 3, 1996",,"August 1, 2008",the date the investigational new drug application became effective,1314
E9-23900,EMEND FOR INJECTION (fosaprepitant meglumine,"5,691,336",Merck & Co,4473,3810,663,,"April 3, 2006","January 25, 2008",NDA 22-023,1826
E9-24457,ENTEREG (alvimopan,,"Eli Lilly and Company, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",5305,3879,1426,,"June 25, 2004","May 20, 2008",the new drug application (NDA) 21-775,
2010-4159,FIRMAGON (degarelix acetate,"5,925,730","Ferring BV, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2695,2394,301,"August 10, 2001","February 28, 2008","December 24, 2008",the date the investigational new drug application became effective,1498
2010-7516,LUSEDRA (fospropofol disodium,,"University of Kansas, and the Patent and Trademark Office requested FDA's assistance in determining the patents' eligibility for patent term restoration",2405,1962,443,"May 15, 2002","September 27, 2007","December 12, 2008",the date the investigational new drug application became effective,
2010-7678,FANAPT (iloperidone,"RE39,198",Aventis Holdings Inc,6552,5964,588,"May 31, 1991","September 27, 2007","May 6, 2009",the date the investigational new drug application became effective,
2010-7679,TOVIAZ (fesoterodine fumarate,"6,858,650","Schwarz Pharma AG, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2395,1445,950,"April 13, 2002","March 27, 2006","October 31, 2008",the date the investigational new drug application became effective,1155
2010-8172,MOZOBIL (plerixafor,"5,583,131",Genzyme Corp,3849,3666,183,,"June 16, 2008","December 15, 2008",the new drug application (NDA) 22-311,1826
2010-8443,AFINITOR (everolimus,"5,665,772","Novartis AG, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",4486,4212,274,"December 19, 1996","June 30, 2008","March 30, 2009",the date the investigational new drug application became effective,1826
2010-8518,SAVELLA (milnacipran hydrochloride,,"Cypress Bioscience, Inc",2571,2177,394,"January 2, 2002","December 18, 2007","January 14, 2009",the date the investigational new drug application became effective,
2010-9509,VIMPAT (lacosamide,,"Research Corporation Technologies, Inc",3452,3055,397,,,"October 28, 2008",the new drug application (NDA) 22-254 for VIMPAT injection,
2010-9512,", VIMPAT (lacosamide",,"Research Corporation Technologies, Inc",3452,3055,397,"May 19, 1999","September 28, 2007","October 28, 2008",the date the investigational new drug application became effective,1827
2010-13655,ABLAVAR (gadofosveset trisodium,,"Epix Pharmaceuticals, Inc",4508,2673,1835,"August 21, 1996","December 15, 2003","December 22, 2008",the date the investigational new drug application became effective,
2010-13905,PROMACTA (eltrombopag olamine,"7,160,870",SmithKline Beecham Corp,1485,1147,338,,"December 19, 2007","November 20, 2008",the new drug application (NDA) 22-291,347
2010-14814,BYSTOLIC (nebivolol hydrochloride,,"Forest Laboratories, Inc",6790,5463,,,,"December 17, 2007",NDA 21-742,
2010-21586,PRISTIQ (desvenlafaxine sucinate,,"Wyeth, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2124,1324,800,"May 9, 2002","December 22, 2005","February 29, 2008",the date the investigational new drug application became effective,
2010-21583,ONGLYZA (saxagliptin,"6,395,767",Bristol-Myers Squibb Co,2794,2397,397,,"June 30, 2008","July 31, 2009",the new drug application (NDA) for ONGLYZA (NDA 22-350),896
C1-2010-21583,,,,,,,,,,,
C1-2010-21586,,,,,,,,,,,
2010-22081,,"5,472,438","Case Western Reserve University, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",5166,4830,336,,,"June 17, 2008","the date the investigational device exemption (IDE) required under section 520(g) of the act for human tests to begin became effective April 28, 1994.
2. The date an application",1737
2010-22234,EFFIENT (Prasugrel Hydrochloride,"5,288,726",Daiichi Sankyo Co,2795,2232,563,"November 16, 2001","December 26, 2007","July 10, 2009",the date the investigational new drug application became effective,1679
2010-22177,,"6,156,067","Medtronic Sofamor Danek, Inc",2702,1653,1049,,,"May 12, 2009","the date the investigational device exemption (IDE) required under section 520(g) of the act for human tests to begin became effective December 20, 2001.
                

                    2. 
                    The date an application",1826
2010-22394,,"6,309,650",Chiel Jedang Corp,3461,2994,467,,,"March 30, 2009",the biologics license application (BLA) for IXIARO (BLA B125280/0),1588
2010-22496,,"5,711,958","SyntheMed, Inc",4023,3256,767,,,"March 6, 2009","the date the investigational device exemption (IDE) required under section 520(g) of the act for human tests to begin became effective March 3, 1998.
                

                    2. 
                    The date an application",1742
2010-22519,SAPHRIS (asenapine,"5,763,476","NV Organon, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",4547,3833,714,"March 4, 1997","August 31, 2007","August 13, 2009",the date the investigational new drug application became effective,1827
2010-22521,ULORIC (febuxostat,"5,614,520",Teijin Pharma Ltd,3395,1873,1522,,"December 15, 2004","February 13, 2009",NDA 21-856,
2010-30512,,"6,902,734 and 7,166,285",Centocor Ortho Biotech Inc,3165,2498,667,,,"September 25, 2009","the biologics license application (BLA) for 
                    STELARA
                     (BLA 125261/0)",
2010-30510,"BESIVANCE
                     (besifloxacin hydrochloride","5,447,926",Bausch & Lomb Inc,2271,1910,361,"March 12, 2003",,"May 28, 2009",the date the investigational new drug application became effective,1316
2010-30992,,"7,446,175","Novartis AG, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1072,889,183,,,"June 17, 2009",BLA 125319,177
2010-30991,BEPREVE (bepotastine besilate,"6,780,877","Ube Industries, Ltd",964,663,301,,,"September 8, 2009",the new drug application (NDA) 22-288,631
2010-30995,SABRIL (vigabatrin,"5,380,936","Lundbeck, Inc",10205,4614,5591,"September 14, 1981",,,the date the investigational new drug application became effective,
2010-31074,COARTEM (artemether/lumefantrine,"5,677,331","Novartis AG, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",285,,285,,,"April 7, 2009",the new drug application (NDA) 22-268,284
2010-31064,MULTAQ (dronedarone hydrochloride,,"Sanofi-Aventis, and the Patent and Trademark Office requested FDA's assistance in determining the patents' eligibility for patent term restoration",5076,3593,1483,"August 10, 1995",,"July 1, 2009",the date the investigational new drug application became effective,
2010-31250,VIBATIV (televancin hydrochloride,,"Theravance, Inc",2635,1637,998,"June 27, 2002",,"September 11, 2009",the date the investigational new drug application became effective,
2010-31298,SAMSCA (tolvaptan,,Otsuka Pharmaceutical Co,4722,4147,575,,,"May 19, 2009",the new drug application (NDA) for SAMSCA (NDA 22-275),
2010-31240,,"5,262,035",Abbott Diabetes Care Inc,2320,750,1570,,,"March 12, 2008","the device did not require an IDE under section 520(g) of the FD&C act, but did require IRB approval, granted November 6, 2001, for human tests to begin. This date represents the beginning of the testing phase of the regulatory review period.
                

                    2. 
                    The date an application",1826
2010-31583,,"5,196,404","The Medicines Company, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3665,2576,1089,,,"December 15, 2000",the new drug application (NDA) for ANGIOMAX (NDA 20-873),1773
2010-31846,FOLOTYN (pralatrexate,"6,028,071","Southern Research Institute, Sloan-Kettering Institute for Cancer Research, and SRI International, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",4591,4406,185,,,"September 24, 2009",NDA 22-468,1826
2010-31847,LIVALO (pitavastatin calcium,"5,856,336","Nissan Chemical Industries, Ltd",3341,3036,305,,,"August 3, 2009",NDA 22-363,1826
2011-5312,AMPYRA (dalfampridine,,Elan Pharma International Ltd,9845,9569,276,,,"January 22, 2010",the new drug application (NDA) for AMPYRA (NDA 22-250),
2011-5310,,"7,351,533","MedImmune, LLC",4027,3094,933,,,"October 16, 2009",the biologics license application (BLA) for CERVARIX (BLA 125259/0),562
2011-6162,ISTODAX (romidepsin,"4,977,138","Gloucester Pharmaceuticals, Inc",2717,2419,298,,,"November 5, 2009",the new drug application (NDA) for ISTODAX (NDA 22-393),1523
2011-6514,VPRIV (velaglucerase alfa,"7,138,262","Shire Human Genetic Therapies, Inc",2221,2041,180,,,"February 26, 2010",the new drug application (NDA) for VPRIV (NDA 22-575),687
2011-6509,,"6,441,145","GTC Biotherapeutics, Inc",4468,4285,183,,,"February 6, 2009",BLA 125284,1243
2011-9153,,,,,,,,,,,
2011-10379,,"6,020,329","Pfizer, Inc",2841,2801,40,,,"April 25, 2008",NADA 141-285,1462
2011-10870,VOTRIENT (pazopanib hydrochloride,"7,105,530","GlaxoSmithKline, LLC",2568,2263,305,,,"October 19, 2009",the new drug application (NDA) for Votrient (NDA 22-465),719
2011-11903,,,,,,,,,,,
2011-13388,,,,1893,1111,782,"November 4, 2004",,"January 8, 2010",the date the investigational new drug application became effective,1338
2011-15197,,"6,306,900","Novartis AG, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration and that FDA determine the product's regulatory review period",1947,1643,304,"October 31, 1998",,"February 27, 2004",the date the investigational new drug application became effective,323
2011-15625,,"6,034,267","PhotoCure ASA, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration and that FDA determine the product's regulatory review period",1695,659,1036,,,"July 27, 2004",the new drug application (NDA) for METVIXIA (NDA 21-415),871
2011-15691,BROVANA (arformoterol tartrate,"6,589,508",Sepracor Inc,3118,2819,299,"March 26, 1998",,"October 6, 2006",the date the investigational new drug application became effective,745
2011-15692,DEXILANT (dexlansoprazole,,Takeda Pharmaceutical Co,1675,1278,397,"July 2, 2004",,"January 30, 2009",the date the investigational new drug application became effective,
2011-15689,Fusilev (levoleucovorin calcium,"6,500,829","the University of Strathclyde, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration and that FDA determine the product's regulatory review period",6993,703,6290,,,"March 7, 2008",NDA 20-140,797
2011-15910,XYZAL (levocetirizine dihydrochloride,"5,698,558",UCB Inc,305,0,305,,,"May 25, 2007",no investigational new drug application,245
2011-15905,INVEGA SUSTENNA (paliperidone palmitate,"5,254,556","Janssen, L",2253,1608,645,"June 2, 2003",,"July 31, 2009",the date the investigational new drug application became effective,1449
2012-8235,,"5,607,690",Altergon S,4031,1796,2235,"January 20, 1996",,"January 31, 2007",the date the investigational new drug application became effective,1825
2012-8341,VIIBRYD (vilazodone hydrochloride,,"Merck Patent GmbH, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",4778,4472,306,"December 24, 1997",,"January 21, 2011",the date the investigational new drug application became effective,
2012-8339,TEFLARO (ceftaroline fosamil,,"Takeda Pharmaceutical Company Limited, and the Patent and Trademark Office requested FDA's assistance in determining the patents' eligibility for patent term restoration",2118,1814,304,"January 12, 2005",,"October 29, 2010",the date the investigational new drug application became effective,
2012-8337,NATROBA (spinosad,,"Eli Lilly and Company, and the Patent and Trademark Office requested FDA's assistance in determining these patents' eligibility for patent term restoration",2261,1534,727,"November 11, 2004",,"January 18, 2011",the date the investigational new drug application became effective,
2012-8340,DATSCAN (Ioflupane I-123 injection,"5,310,912","GE Healthcare Limited, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",677,0,677,,,"January 14, 2011",NDA 22-454,
2012-8354,LATUDA (lurasidone hydrochloride,"5,532,372",Dainippon Sumitomo Pharma Co,3602,3299,303,,,"October 28, 2010",the new drug application (NDA) for LATUDA (NDA 200-603),1826
2012-9325,,,,,,,,,,,
2012-10518,,,Dyax Corp,2855,2420,435,"February 8, 2002",,"December 1, 2009",the date the investigational new drug application became effective,
2012-10517,VICTOZA (liraglutide (rDNA origin,"6,268,343","Novo Nordisk A/S, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3370,2757,,,,"January 25, 2010",the new drug application (NDA) for Victoza (NDA 22-341),1826
2012-10516,,"6,411,852","Asthmatx, Inc",1743,1259,484,,,"April 27, 2010","the date the investigational device exemption (IDE) required under section 520(g) of the FD&C Act for human tests to begin became effective July 21, 2005.
                

                    2. 
                    The date an application",1114
2012-10716,HALAVEN (eribulin mesylate,"6,214,865",Eisai R&D Management Co,2758,2527,231,"April 30, 2003",,"November 15, 2010",the date the investigational new drug application became effective,1495
2012-10697,,( print page 26291,"Mountain View Pharmaceuticals, Inc",3193,2509,684,"December 19, 2001",,"September 14, 2010",the date the investigational new drug application became effective,1445
2012-10694,LASTACAFT (alcaftadine ophthalmic solution,"5,468,743",Janssen Pharmaceutica N,2189,1886,303,,,"July 28, 2010",NDA 22-134,1246
2012-10712,PRADAXA (dabigatran etexilate mesylate,"6,087,380",Boehringer Ingelheim Pharma GmbH & Co,2633,2449,184,,,"October 19, 2010",NDA 22-512,1469
2012-10819,GILENYA (fingolimod,"5,604,229",Novartis Pharmaceuticals Corp,4296,4021,275,,,"September 21, 2010",NDA 22-527,
2012-10808,EGRIFTA (tesamorelin acetate,"5,861,379","Theratechnologies, Inc",3284,2753,531,"November 15, 2001",,"November 10, 2010",the date the investigational new drug application became effective,1827
2012-10849,FERAHEME (ferumoxytol,"6,599,498","AMAG Pharmaceuticals, Inc",3680,3120,560,,,"June 30, 2009",NDA 22-180,1209
2012-10828,JEVTANA (cabazitaxel,,Aventis Pharma S,4250,4171,79,"October 30, 1998",,"June 17, 2010",the date the investigational new drug application became effective,
2012-10853,,"5,372,818","Dechra, Ltd",6378,6336,42,,,"September 9, 2010",NADA 141-314,
2012-10959,,,"Amgen, Inc",3269,2739,530,"June 21, 2001",,"June 1, 2010",the date the investigational new drug application became effective,
2012-13902,,,,,,,,,,,
2012-14003,CYSVIEW (hexaminolevulinate hydrochloride,,"Photocure ASA, and the Patent and Trademark Office requested FDA's assistance in determining the patents' eligibilities for patent term restoration",3103,2770,333,,,"May 28, 2010",the new drug application (NDA) for CYSVIEW (NDA 22-555),
2012-14000,,RE38158,"Neomend, Inc",3854,787,3067,,,"January 14, 2010","the date the investigational device exemption (IDE) required under section 520(g) of the FD&C Act for human tests to begin became effective June 29, 1999.
                

                    2. 
                    The date an application",
2012-21239,,"5,362,718","Wyeth, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration and that FDA determine the product's regulatory review period",3290,3052,238,"May 29, 1998",,"May 30, 2007",the date the investigational new drug application became effective,1764
2013-02085,XALKORI (crizotinib,"7,230,098",Pfizer Inc,2054,1904,150,,,"August 26, 2011",the new drug application (NDA) for XALKORI (NDA 202-570),178
2013-02086,"BEYAZ (drospirenone, ethinyl estradiol, and levomefolate calcium","6,441,168","Eprova AG, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1271,874,397,"April 4, 2007",,"September 24, 2010",the date the investigational new drug application became effective,834
2013-04016,,"5,411,552",Edwards Lifesciences AG and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration,2473,2106,367,,,"November 2, 2011",PMA P100041,1757
2013-04645,ZYTIGA (abiraterone acetate,"5,604,213","BTG International LTD, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1927,1797,130,,,"April 28, 2011",the new drug application (NDA) for ZYTIGA (NDA 202-379),1024
2013-04646,,"5,591,444","Fibrocell Technologies, Inc",3338,2500,838,"May 3, 2002",,"June 21, 2011",the date the investigational new drug application became effective,
2014-01307,GADAVIST (gadobutrol,"5,980,864",Bayer Schering Pharma Aktiengesellschaft and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration,4269,3964,305,"July 8, 1999",,"March 14, 2011",the date the investigational new drug application became effective,1470
2014-01306,DALIRESP (roflumilast,"5,712,298","Nycomed GmbH, and the U",4237,3645,592,,,"February 28, 2011",the new drug application (NDA) for DALIRESP (NDA 22-522),1826
2014-07060,,"7,094,874","Bristol-Myers Squibb Company, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",4479,3764,715,"March 13, 1999",,"June 15, 2011",the date the investigational new drug application became effective,
2014-07058,,"5,614,382",Wyeth Holdings Corp,132102,1771,331,,,"February 24, 2010",BLA 125324,1312
2014-07334,,"6,538,151","Valeant Pharmaceuticals North America, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",5021,4432,589,"September 12, 1997",,"June 10, 2011",the date the investigational new drug application became effective,1794
